ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"DE000KC01000","KCO","KLOECKNER + CO SE NA O.N.","Common stock","EUR",2504810,2020-02-13,09:00,6.265,6.265,6.265,6.265,382,2
"DE000A1C9KL8","H4ZJ","HSBC MSCI WORLD UC.ETF DZ","ETF","EUR",2504452,2020-02-13,09:00,22.209,22.209,22.208,22.208,15768,5
"IE00BYVJRP78","QDVS","ISHSIV-SUS.M.EM.MK.SRI DL","ETF","EUR",2505537,2020-02-13,09:00,6.473,6.473,6.473,6.473,6135,1
"LU1659681669","EKUS","BNPPE-M.USA SRISS5C.UEEOD","ETF","EUR",2822792,2020-02-13,09:00,12.97,12.97,12.97,12.97,2317,1
"DE0005773303","FRA","FRAPORT AG FFM.AIRPORT","Common stock","EUR",2504970,2020-02-13,09:00,68.22,68.24,68.2,68.24,128,3
"DE000A1A6V48","KSC","KPS AG NA O.N.","Common stock","EUR",2504441,2020-02-13,09:00,8.43,8.43,8.43,8.43,64,1
"DE000A0Z2XN6","RIB","RIB SOFTWARE SE  NA EO 1","Common stock","EUR",2504436,2020-02-13,09:00,29.18,29.2,29.18,29.2,30608,36
"DE0005313704","AFX","CARL ZEISS MEDITEC AG","Common stock","EUR",2504922,2020-02-13,09:00,110.8,110.8,110.8,110.8,354,3
"DE000A161N30","GLJ","GRENKE AG NA O.N.","Common stock","EUR",2504606,2020-02-13,09:00,102.2,102.3,102.2,102.3,88,2
"DE0005790430","FPE3","FUCHS PETROL.SE VZO O.N.","Common stock","EUR",2504976,2020-02-13,09:00,42.6,42.6,42.6,42.6,253,1
"IE00B5V87390","CEBB","ISHSVII-MSCI RU ADR/GDRDA","ETF","EUR",2505713,2020-02-13,09:00,135.62,135.62,135.62,135.62,40,1
"US9314271084","W8A","WALGREENS BOOTS AL.DL-,01","Common stock","EUR",4542825,2020-02-13,09:00,50.6,50.6,50.6,50.6,103,1
"US01609W1027","AHLA","ALIBABA GR.HLDG SP.ADR 8","Common stock","EUR",2506421,2020-02-13,09:00,204.5,204.5,204.5,204.5,100,1
"DE000A1DAHH0","BNR","BRENNTAG AG NA O.N.","Common stock","EUR",2504453,2020-02-13,09:00,49.78,49.78,49.75,49.76,605,4
"DE0006047004","HEI","HEIDELBERGCEMENT AG O.N.","Common stock","EUR",2505002,2020-02-13,09:00,64.24,64.24,64.22,64.22,121,3
"DE0008430026","MUV2","MUENCH.RUECKVERS.VNA O.N.","Common stock","EUR",2505134,2020-02-13,09:00,278.3,278.3,278.3,278.3,201,4
"DE000A2GS401","SOW","SOFTWARE AG  NA O.N.","Common stock","EUR",2696229,2020-02-13,09:00,34.04,34.04,34.03,34.03,367,4
"GB00B03MLX29","R6C","ROYAL DUTCH SHELL A EO-07","Common stock","EUR",2505360,2020-02-13,09:00,23.45,23.45,23.44,23.44,1800,3
"IE00B5377D42","IBC6","ISHSIII-MSCI AUSTR.DLACC","ETF","EUR",2505732,2020-02-13,09:00,35.89,35.89,35.89,35.89,131,1
"IE00BYZK4552","2B76","ISHS IV-AUTO.+ROBOTIC.ETF","ETF","EUR",2505551,2020-02-13,09:00,8.022,8.022,8.022,8.022,280,1
"DE0005111702","ZO1","ZOOPLUS AG","Common stock","EUR",2504885,2020-02-13,09:00,89.8,89.8,89.8,89.8,77,1
"DE0006305006","DEZ","DEUTZ AG O.N.","Common stock","EUR",2505037,2020-02-13,09:00,5.105,5.105,5.105,5.105,350,1
"DE000A254211","ISHA","INTERSHOP COMM.  KONV.","Common stock","EUR",4781675,2020-02-13,09:00,2.2,2.2,2.2,2.2,100,1
"DE0006062144","1COV","COVESTRO AG  O.N.","Common stock","EUR",2505008,2020-02-13,09:00,39.22,39.22,39.19,39.2,1415,10
"DE000A1H8BV3","NOEJ","NORMA GROUP SE NA O.N.","Common stock","EUR",2504474,2020-02-13,09:00,36.2,36.2,36.2,36.2,200,2
"DE000A0LD2U1","AOX","ALSTRIA OFFICE REIT-AG","Common stock","EUR",2504379,2020-02-13,09:00,18.48,18.48,18.48,18.48,686,3
"LU1704650164","BFSA","BEFESA S.A. ORD. O.N.","Common stock","EUR",2759536,2020-02-13,09:00,33.25,33.25,33.25,33.25,218,1
