ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"US5007541064","KHNZ","KRAFT HEINZ CO.DL -,01","Common stock","EUR",2506520,2020-02-13,12:00,27.8,27.925,27.8,27.925,1391,8
"US70450Y1038","2PP","PAYPAL HDGS INC.DL-,0001","Common stock","EUR",2506551,2020-02-13,12:00,108.56,108.56,108.56,108.56,12,1
"IE00B1FZS244","IQQ4","ISHSII-ASIA PROP.YLD DLD","ETF","EUR",2505586,2020-02-13,12:00,27.255,27.255,27.255,27.255,350,1
"DE000A2G8Y89","TINC","BAUMOT GROUP AG  O.N.","Common stock","EUR",3057925,2020-02-13,12:00,1.75,1.75,1.75,1.75,3000,3
"IE00BYZK4552","2B76","ISHS IV-AUTO.+ROBOTIC.ETF","ETF","EUR",2505551,2020-02-13,12:00,8.01,8.01,8.01,8.01,540,1
"DE000A0H08R2","EXV2","ISH.S.EU.600 TEL.U.ETF A.","ETF","EUR",2504334,2020-02-13,12:00,22.535,22.535,22.535,22.535,144,1
"US1941621039","CPA","COLGATE-PALMOLIVE    DL 1","Common stock","EUR",2506463,2020-02-13,12:00,69.37,69.38,69.37,69.38,100,2
"US09062X1037","IDP","BIOGEN INC. DL -,0005","Common stock","EUR",2506448,2020-02-13,12:00,301.9,301.9,301.9,301.9,34,2
"IE00BTJRMP35","XMME","X(IE)-MSCI EM.MKTS 1CDL","ETF","EUR",2511295,2020-02-13,12:00,47.778,47.778,47.778,47.778,200,1
"IE00BDT6FP91","SPF1","SPDR T.R.GL CON.BD UE EOH","ETF","EUR",3213457,2020-02-13,12:00,32.518,32.518,32.518,32.518,271,1
"DE000A1J5RX9","O2D","TELEFONICA DTLD HLDG NA","Common stock","EUR",2504492,2020-02-13,12:00,2.573,2.573,2.573,2.573,6522,6
"US5949181045","MSF","MICROSOFT    DL-,00000625","Common stock","EUR",2506530,2020-02-13,12:00,168.5,168.5,168.02,168.02,293,8
"US7170811035","PFE","PFIZER INC.        DL-,05","Common stock","EUR",2506553,2020-02-13,12:00,34.7,34.7,34.7,34.7,1364,2
"LU0411075020","DBPD","XTR.SHORTDAX X2 DA.SW. 1C","ETF","EUR",2504272,2020-02-13,12:00,2.729,2.729,2.728,2.728,19900,2
"DE000A0H08G5","EXH2","IS.S.E.600 FIN.S.U.ETF A.","ETF","EUR",2504325,2020-02-13,12:00,60.32,60.32,60.32,60.32,102,1
"LU0274211480","DBXD","XTR.DAX 1C","ETF","EUR",2504269,2020-02-13,12:00,131.48,131.48,131.48,131.48,1250,1
"IE00BSJCQV56","ZPRP","FTSE EPRA N.D.E.XUK I.UE","ETF","EUR",2505491,2020-02-13,12:00,37.54,37.54,37.54,37.54,4,1
"IE00BDZVH966","IBC5","ISHSII-DL TIPS EO-H. ACC.","ETF","EUR",3102065,2020-02-13,12:00,5.2402,5.2402,5.2402,5.2402,34,1
"DE0005790430","FPE3","FUCHS PETROL.SE VZO O.N.","Common stock","EUR",2504976,2020-02-13,12:00,42.58,42.58,42.58,42.58,197,2
"DE000KSAG888","SDF","K+S AG NA O.N.","Common stock","EUR",2504812,2020-02-13,12:00,8.902,8.902,8.902,8.902,65,1
"IE00BTN1Y115","2M6","MEDTRONIC PLC    DL-,0001","Common stock","EUR",2505500,2020-02-13,12:00,105.75,106.35,105.75,106.3,110,4
"LU1310477036","AH50","XTR.HARV.FTSE CH.A-H50 1D","ETF","EUR",2506151,2020-02-13,12:00,27.225,27.225,27.225,27.225,299,1
"LU0839027447","XDJP","XTR.NIKKEI 225 1D","ETF","EUR",2506063,2020-02-13,12:00,20.595,20.595,20.595,20.595,21,1
