ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"DE0005408116","ARL","AAREAL BANK AG","Common stock","EUR",2504927,2020-02-13,10:00,30.57,30.57,30.57,30.57,359,2
"DE000EVNK013","EVK","EVONIK INDUSTRIES NA O.N.","Common stock","EUR",2504806,2020-02-13,10:00,26.12,26.12,26.1,26.1,2297,9
"GB0007980591","BPE5","BP PLC             DL-,25","Common stock","EUR",2505380,2020-02-13,10:00,5.5,5.5,5.496,5.496,19000,12
"DE000LEG1110","LEG","LEG IMMOBILIEN AG NA O.N.","Common stock","EUR",2504814,2020-02-13,10:00,113.45,113.45,113.45,113.45,17,1
"DE000A1EK0G3","XAD1","XTR P GOLD EUR H60","ETC","EUR",2506209,2020-02-13,10:00,105.02,105.02,105.02,105.02,143,1
"US01609W1027","AHLA","ALIBABA GR.HLDG SP.ADR 8","Common stock","EUR",2506421,2020-02-13,10:00,202.5,202.5,202.5,202.5,65,1
"DE0007493991","SAX","STROEER SE + CO. KGAA","Common stock","EUR",2505103,2020-02-13,10:00,77,77,77,77,49,2
"DE000A1PHFF7","BOSS","HUGO BOSS AG NA O.N.","Common stock","EUR",2504512,2020-02-13,10:00,42.89,42.94,42.89,42.9,1428,11
"DE000SHA0159","SHA","SCHAEFFLER AG INH. VZO","Common stock","EUR",2504849,2020-02-13,10:00,9.486,9.486,9.484,9.484,826,3
"IE00B3VVMM84","VFEM","VANGUARD FTSE EMU.ETF DLD","ETF","EUR",2749248,2020-02-13,10:00,55.3,55.3,55.3,55.3,81,1
"IE00BQQP9G91","G2XJ","VE JR GOLD MIN.UCITSETF A","ETF","EUR",2505480,2020-02-13,10:00,31.65,31.65,31.65,31.65,28,1
"DE0005190003","BMW","BAY.MOTOREN WERKE AG ST","Common stock","EUR",2504900,2020-02-13,10:00,66.29,66.29,66.22,66.22,1649,10
"DE0005313704","AFX","CARL ZEISS MEDITEC AG","Common stock","EUR",2504922,2020-02-13,10:00,109.6,109.6,109.6,109.6,149,5
"IE00BKM4GZ66","IS3N","IS C.MSCI EMIMI U.ETF DLA","ETF","EUR",2505427,2020-02-13,10:00,27.379,27.379,27.379,27.379,15753,3
"DE0005936124","OHB","OHB SE   O.N.","Common stock","EUR",2504994,2020-02-13,10:00,41,41,41,41,110,1
"DE0007235301","SGL","SGL CARBON SE O.N.","Common stock","EUR",2505087,2020-02-13,10:00,4.24,4.24,4.238,4.238,359,2
"LU1452600270","TIUP","MUL-L.CORE US TIPS(DR) D","ETF","EUR",2506173,2020-02-13,10:00,98.37,98.37,98.37,98.37,42,1
"DE0006062144","1COV","COVESTRO AG  O.N.","Common stock","EUR",2505008,2020-02-13,10:00,38.92,38.92,38.88,38.88,919,4
"DE000A0N62G0","VZLD","WITR MET.SEC.DZ07/UN.XAU","ETC","EUR",2506200,2020-02-13,10:00,137.74,137.74,137.74,137.74,113,1
