ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"DE000SHL1006","SHL","SIEMENS HEALTH.AG NA O.N.","Common stock","EUR",3058562,2020-02-13,16:00,40.185,40.185,40.17,40.17,2108,19
"LU0061462528","RRTL","RTL GROUP","Common stock","EUR",2505811,2020-02-13,16:00,41.42,41.42,41.4,41.4,459,3
"DE000A0D9PT0","MTX","MTU AERO ENGINES NA O.N.","Common stock","EUR",2504297,2020-02-13,16:00,276.2,276.2,275.9,276,2307,21
"DE000UNSE018","UN01","UNIPER SE  NA O.N.","Common stock","EUR",2504856,2020-02-13,16:00,29.15,29.15,29.14,29.14,593,5
"DE000KBX1006","KBX","KNORR-BREMSE AG  INH O.N.","Common stock","EUR",3502744,2020-02-13,16:00,98.57,98.61,98.57,98.58,483,10
"IE00B8FHGS14","IQQ0","ISHS VI-E.MSCI WL.M.V.DLA","ETF","EUR",2505778,2020-02-13,16:00,50.27,50.27,50.27,50.27,929,1
"LU1861137484","MIVB","AIS-A.M.EU.SRI DR AOEA","ETF","EUR",3577408,2020-02-13,16:00,62.22,62.22,62.22,62.22,169,1
"DE0005659700","EUZ","ECKERT+ZIEGLER AG O.N.","Common stock","EUR",2504962,2020-02-13,16:00,180,180,180,180,18,1
"DE0006202005","SZG","SALZGITTER AG O.N.","Common stock","EUR",2505016,2020-02-13,16:00,16.6,16.61,16.595,16.595,2563,11
"DE000A2GS401","SOW","SOFTWARE AG  NA O.N.","Common stock","EUR",2696229,2020-02-13,16:00,33.99,34,33.98,33.98,1521,11
"US01609W1027","AHLA","ALIBABA GR.HLDG SP.ADR 8","Common stock","EUR",2506421,2020-02-13,16:00,203.5,204,203.5,204,226,3
"DE000A0DNAY5","ACX","BET-AT-HOME.COM AG O.N.","Common stock","EUR",2504288,2020-02-13,16:00,49.38,49.38,49.38,49.38,16,2
"IE00BYX2JD69","2B7K","ISHSIV-MSCI WLD.SRI U.EOA","ETF","EUR",3875866,2020-02-13,16:00,7.156,7.156,7.156,7.156,154,1
"DE0005654933","EIN3","EINHELL GERMANY VZO O.N.","Common stock","EUR",2504961,2020-02-13,16:00,56.4,56.4,56.4,56.4,4,1
"DE000BAY0017","BAYN","BAYER AG NA O.N.","Common stock","EUR",2504664,2020-02-13,16:00,76.98,77,76.96,76.98,5359,21
"DE000A1J5RX9","O2D","TELEFONICA DTLD HLDG NA","Common stock","EUR",2504492,2020-02-13,16:00,2.577,2.579,2.577,2.579,31057,9
"DE0005933923","EXS3","ISHARES MDAX UCITS ETF","ETF","EUR",2504988,2020-02-13,16:00,246.6,246.6,246.6,246.6,50,1
"DE000A0HN5C6","DWNI","DEUTSCHE WOHNEN SE INH","Common stock","EUR",2504314,2020-02-13,16:00,38.3,38.3,38.3,38.3,1206,3
"DE0006969603","PUM","PUMA SE","Common stock","EUR",2505067,2020-02-13,16:00,72.4,72.4,72.4,72.4,701,4
"DE000A0LD2U1","AOX","ALSTRIA OFFICE REIT-AG","Common stock","EUR",2504379,2020-02-13,16:00,18.51,18.51,18.51,18.51,2522,5
"DE0007235301","SGL","SGL CARBON SE O.N.","Common stock","EUR",2505087,2020-02-13,16:00,4.196,4.198,4.196,4.198,413,2
"IE00B9CQXS71","ZPRG","SPDR S+P GL.DIV.ARIST.ETF","ETF","EUR",2505785,2020-02-13,16:00,33.185,33.185,33.185,33.185,536,1
"NL0000235190","AIR","AIRBUS","Common stock","EUR",2506257,2020-02-13,16:00,132.7,132.72,132.68,132.72,301,8
"IE00BZCQB185","QDV5","ISHSIV-MSCI INDIA UC.ETF","ETF","EUR",3225432,2020-02-13,16:00,5.111,5.111,5.111,5.111,32773,7
"DE0007100000","DAI","DAIMLER AG NA O.N.","Common stock","EUR",2505076,2020-02-13,16:00,43.03,43.045,43.025,43.035,13466,32
"DE0005550602","DRW8","DRAEGERWERK ST.A.O.N.","Common stock","EUR",2504951,2020-02-13,16:00,41.25,41.25,41.25,41.25,14,1
"US92826C8394","3V64","VISA INC. CL. A DL -,0001","Common stock","EUR",2506594,2020-02-13,16:00,191.3,191.38,191.3,191.38,278,3
"DE0005773303","FRA","FRAPORT AG FFM.AIRPORT","Common stock","EUR",2504970,2020-02-13,16:00,68.34,68.36,68.32,68.36,1025,8
"DE000FTG1111","FTK","FLATEX AG  NA O.N.","Common stock","EUR",2504808,2020-02-13,16:00,31.35,31.35,31.35,31.35,100,3
"DE0008402215","HNR1","HANNOVER RUECK SE NA O.N.","Common stock","EUR",2505132,2020-02-13,16:00,190.7,190.7,190.7,190.7,194,4
"DE000A2JNWZ9","ASL","AKASOL AG  INH. O.N.","Common stock","EUR",3299907,2020-02-13,16:00,40.8,41.4,40.8,41.105,1592,11
"DE0005488100","ISR","ISRA VISION O.N.","Common stock","EUR",2504937,2020-02-13,16:00,50.25,50.25,50.25,50.25,455,2
"DE0008232125","LHA","LUFTHANSA AG VNA O.N.","Common stock","EUR",2505130,2020-02-13,16:00,15.19,15.2,15.185,15.2,16018,7
"DE0005190003","BMW","BAY.MOTOREN WERKE AG ST","Common stock","EUR",2504900,2020-02-13,16:00,66.54,66.55,66.52,66.55,6044,28
"DE000A1EWWW0","ADS","ADIDAS AG NA O.N.","Common stock","EUR",2504471,2020-02-13,16:00,287.35,287.4,287.25,287.35,1035,16
"DE000A0Z2XN6","RIB","RIB SOFTWARE SE  NA EO 1","Common stock","EUR",2504436,2020-02-13,16:00,29.04,29.04,29.04,29.04,770,1
"DE0005200000","BEI","BEIERSDORF AG O.N.","Common stock","EUR",2504906,2020-02-13,16:00,105.3,105.3,105.3,105.3,320,4
"DE000CBK1001","CBK","COMMERZBANK AG","Common stock","EUR",2504665,2020-02-13,16:00,6.359,6.363,6.356,6.363,40698,40
"DE000BASF111","BAS","BASF SE NA O.N.","Common stock","EUR",2504663,2020-02-13,16:00,62.73,62.74,62.7,62.73,8038,28
"US5949181045","MSF","MICROSOFT    DL-,00000625","Common stock","EUR",2506530,2020-02-13,16:00,171.14,171.16,171.14,171.16,39,2
"DE000A12DM80","G24","SCOUT24 AG NA O.N.","Common stock","EUR",2504556,2020-02-13,16:00,64.85,64.85,64.85,64.85,70,1
