ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"LU0446734526","UIMD","UBS-ETF-MSCI PAC.X.J DLAD","ETF","EUR",2505967,2020-02-13,05:00,40.645,40.645,40.645,40.645,0,1
"DE0005167902","UUU","3U HOLDING AG","Common stock","EUR",2504895,2020-02-13,05:00,1.625,1.625,1.625,1.625,0,1
"LU1829218749","LYTR","MUL-L.C.T.R./C.COM.CRB TR","ETF","EUR",3867858,2020-02-13,05:00,14.956,14.956,14.956,14.956,0,1
"FI4000106299","FRU","FERRATUM OYJ","Common stock","EUR",2505162,2020-02-13,05:00,12.38,12.38,12.38,12.38,0,1
"LU1834985845","LFOD","LIF-600 F.+BEV. EOA","ETF","EUR",3768607,2020-02-13,05:00,91.37,91.37,91.37,91.37,0,1
"LU1704650164","BFSA","BEFESA S.A. ORD. O.N.","Common stock","EUR",2759536,2020-02-13,05:00,33.7,33.7,33.7,33.7,0,1
"DE000PR5RWU6","B4NG","BNP PAR.ISS. O.E. ETC","ETC","USD",2506364,2020-02-13,05:00,62.685,62.685,62.685,62.685,0,1
"IE00BYSZ6062","SYBV","SPDR B.B.10+Y.E.G.B.U.ETF","ETF","EUR",2505534,2020-02-13,05:00,35.918,35.918,35.918,35.918,0,1
"DE0005937031","MAN3","MAN SE VZO O.N.","Common stock","EUR",2504996,2020-02-13,05:00,42.8,42.8,42.8,42.8,0,1
"DE000A14KRD3","DKG","DT.KONSUM REIT-AG","Common stock","EUR",2504586,2020-02-13,05:00,15.9,15.9,15.9,15.9,0,1
"DE000A0KFUJ5","K1R","KROMI LOGISTIK  INH. O.N.","Common stock","EUR",2504352,2020-02-13,05:00,7.25,7.25,7.25,7.25,0,1
"IE00B50XJX92","UEQ3","UBS ETFS-CMCI C.SF LSAACC","ETF","GBP",2505718,2020-02-13,05:00,81.5,81.5,81.5,81.5,0,1
"IE00BYSX4846","FYEM","FIDELITY E.M.QUAL.INC. A","ETF","EUR",2757147,2020-02-13,05:00,4.904,4.904,4.904,4.904,0,1
"LU0839027447","XDJP","XTR.NIKKEI 225 1D","ETF","EUR",2506063,2020-02-13,05:00,20.74,20.74,20.74,20.74,0,1
"CH0126881561","SR9","SWISS RE AG NAM.  SF -,10","Common stock","EUR",2504248,2020-02-13,05:00,89,89,89,89,0,1
"IE00B459R192","SYBU","SPDR BL.BA.US AG.BD U.ETF","ETF","EUR",2505683,2020-02-13,05:00,101.3,101.3,101.3,101.3,0,1
"LU0533032263","LYPB","MUL-LYX.MSCI WCS TRUE AEO","ETF","EUR",2506006,2020-02-13,05:00,345.35,345.35,345.35,345.35,0,1
"IE00BFNM3J75","SNAW","ISHSIV-MSCI WLD ESG S.DLA","ETF","EUR",3546665,2020-02-13,05:00,5.505,5.505,5.505,5.505,0,1
"DE000A0H08P6","EXH8","ISH.S.EU.600 RET.U.ETF A.","ETF","EUR",2504332,2020-02-13,05:00,35.9,35.9,35.9,35.9,0,1
"DE0006569403","ALG","ALBIS LEASING AG O.N.","Common stock","EUR",2505044,2020-02-13,05:00,3.56,3.56,3.56,3.56,0,1
"IE00B3YCGJ38","P500","I.M.-I.S+P 500 UETF A","ETF","EUR",4120042,2020-02-13,05:00,567.44,567.44,567.44,567.44,0,1
"IE00B14X4N27","IQQU","IS MSCI EU.XUK U.ETF EOD","ETF","EUR",2505600,2020-02-13,05:00,36.085,36.085,36.085,36.085,0,1
"US0153511094","AXP","ALEXION PHARMAC. DL-,0001","Common stock","EUR",2506420,2020-02-13,05:00,95.5,95.5,95.5,95.5,0,1
"LU1377382103","QUEU","BNPPE.-E.QU.EU.UECEO","ETF","EUR",2506159,2020-02-13,05:00,131.56,131.56,131.56,131.56,0,1
"DE000A1RFMY4","RCMN","RCM BETEILIGUNGS NA. O.N.","Common stock","EUR",2504513,2020-02-13,05:00,2.08,2.08,2.08,2.08,0,1
"DE0007279507","SPM","SPL.MEDIEN AG O.N.","Common stock","EUR",2505094,2020-02-13,05:00,0.75,0.75,0.75,0.75,0,1
"DE000A0H08Q4","EXV3","ISH.S.EU.600 TEC.U.ETF A.","ETF","EUR",2504333,2020-02-13,05:00,54.91,54.91,54.91,54.91,0,1
"IE00BFMXYY33","VJPE","VANGU. FTSE JP.U ETF EOHA","ETF","EUR",4759210,2020-02-13,05:00,25.635,25.635,25.635,25.635,0,1
"IE00BJ06C044","JRUD","JPM I-US RES.ENH.I.E. DLD","ETF","EUR",4628946,2020-02-13,05:00,27.34,27.34,27.34,27.34,0,1
"DE000A0Z23Q5","ADN1","ADESSO SE  INH O.N.","Common stock","EUR",2504440,2020-02-13,05:00,58.7,58.7,58.7,58.7,0,1
"IE00B6YX5M31","SYBJ","SPDR BL.BA.EO H.Y.B.U.ETF","ETF","EUR",2505752,2020-02-13,05:00,57.744,57.744,57.744,57.744,0,1
"IE00BYZTVV78","QDVL","ISHSII-EO CB 0-3Y ESG EOD","ETF","EUR",2505555,2020-02-13,05:00,5.014,5.014,5.014,5.014,0,1
