ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"US02079K1079","ABEC","ALPHABET INC.CL C DL-,001","Common stock","EUR",2506423,2020-02-13,13:00,1389,1389,1389,1389,17,1
"DE0006048432","HEN3","HENKEL AG+CO.KGAA VZO","Common stock","EUR",2505004,2020-02-13,13:00,93.14,93.14,93.1,93.1,1423,13
"DE0005313704","AFX","CARL ZEISS MEDITEC AG","Common stock","EUR",2504922,2020-02-13,13:00,108,108,108,108,422,3
"DE0005810055","DB1","DEUTSCHE BOERSE NA O.N.","Common stock","EUR",2504978,2020-02-13,13:00,152.65,152.65,152.65,152.65,65,1
"DE000A0LD2U1","AOX","ALSTRIA OFFICE REIT-AG","Common stock","EUR",2504379,2020-02-13,13:00,18.43,18.43,18.43,18.43,205,3
"DE000A0TGJ55","VAR1","VARTA AG O.N.","Common stock","EUR",2721826,2020-02-13,13:00,78,78.4,78,78.1,10410,24
"DE000A0Z2XN6","RIB","RIB SOFTWARE SE  NA EO 1","Common stock","EUR",2504436,2020-02-13,13:00,29.24,29.24,29.22,29.24,4746,12
"DE000BFB0019","B4B","METRO AG   ST O.N.","Common stock","EUR",2532386,2020-02-13,13:00,12.345,12.35,12.345,12.35,2598,9
"DE000A2E4K43","DHER","DELIVERY HERO SE NA O.N.","Common stock","EUR",2518798,2020-02-13,13:00,79.26,79.34,79.26,79.34,340,10
"IE00B3DKXQ41","EUN4","ISHSIII-EO AGGR.BD EO DIS","ETF","EUR",2505623,2020-02-13,13:00,128.405,128.405,128.405,128.405,12,1
"LU0490618542","D5BM","XTR.S+P 500 SWAP 1CDL","ETF","EUR",2505991,2020-02-13,13:00,57.296,57.296,57.296,57.296,15,1
"DE0008430026","MUV2","MUENCH.RUECKVERS.VNA O.N.","Common stock","EUR",2505134,2020-02-13,13:00,279.2,279.2,279.1,279.1,1196,10
"DE0005785802","FME","FRESEN.MED.CARE KGAA O.N.","Common stock","EUR",2504974,2020-02-13,13:00,73.5,73.52,73.5,73.52,201,4
"IE00B9M6RS56","IS3C","ISHSVI-JPM DL BD EOH DIS","ETF","EUR",2505789,2020-02-13,13:00,95.682,95.682,95.682,95.682,10,1
"DE0008232125","LHA","LUFTHANSA AG VNA O.N.","Common stock","EUR",2505130,2020-02-13,13:00,15.21,15.215,15.21,15.215,12468,5
"LU0061462528","RRTL","RTL GROUP","Common stock","EUR",2505811,2020-02-13,13:00,40.98,40.98,40.98,40.98,544,3
"DE0005909006","GBF","BILFINGER SE O.N.","Common stock","EUR",2504986,2020-02-13,13:00,33.02,33.02,32.92,32.92,1871,13
"IE00B9CQXS71","ZPRG","SPDR S+P GL.DIV.ARIST.ETF","ETF","EUR",2505785,2020-02-13,13:00,33.085,33.085,33.085,33.085,200,1
"LU1900066207","LBRA","MUL-L.M.BRAZIL EOA","ETF","EUR",3903416,2020-02-13,13:00,21.045,21.045,21.045,21.045,208,1
"DE0006047004","HEI","HEIDELBERGCEMENT AG O.N.","Common stock","EUR",2505002,2020-02-13,13:00,63.68,63.74,63.66,63.72,2249,15
"IE00B66F4759","EUNW","IS EO H.Y.CO.BD U.ETF EOD","ETF","EUR",2505762,2020-02-13,13:00,106.08,106.08,106.08,106.08,16,1
"IE0008471009","EUN2","ISHSII-CORE E.STOXX50 EOD","ETF","EUR",2506399,2020-02-13,13:00,38.7,38.7,38.7,38.7,56,1
"DE0006452907","NEM","NEMETSCHEK SE O.N.","Common stock","EUR",2505040,2020-02-13,13:00,66.5,66.5,66.5,66.5,61,1
"FR0000120073","AIL","AIR LIQUIDE INH. EO 5,50","Common stock","EUR",2505164,2020-02-13,13:00,139,139,139,139,10,1
"DE000A14ZT85","USPY","L+G-L+G CYB.SEC.U.ETF DZ","ETF","EUR",2504597,2020-02-13,13:00,16.178,16.178,16.178,16.178,1025,1
"DE000TLX1005","TLX","TALANX AG NA O.N.","Common stock","EUR",2504854,2020-02-13,13:00,47.36,47.36,47.36,47.36,31,1
