ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"DE0005190003","BMW","BAY.MOTOREN WERKE AG ST","Common stock","EUR",2504900,2020-02-13,11:00,66.35,66.35,66.29,66.3,9224,26
"IE00BQ70R696","NBTK","IM-I.NASDAQ BIOTECH A","ETF","EUR",4484013,2020-02-13,11:00,36.045,36.045,36.045,36.045,96,2
"DE0007664039","VOW3","VOLKSWAGEN AG VZO O.N.","Common stock","EUR",2505114,2020-02-13,11:00,171.22,171.24,171.08,171.12,4400,34
"IE00B5L8K969","CEBL","ISHSVII-MSCI EM AS.DL ACC","ETF","EUR",2505690,2020-02-13,11:00,143.24,143.24,143.1,143.1,220,2
"DE0007856023","ZIL2","ELRINGKLINGER AG NA O.N.","Common stock","EUR",2505124,2020-02-13,11:00,7.1,7.14,7.1,7.12,6029,11
"US0079031078","AMD","ADVANCED MIC.DEV.  DL-,01","Common stock","EUR",2506418,2020-02-13,11:00,48.715,48.715,48.715,48.715,50,1
"DE000PAH0038","PAH3","PORSCHE AUTOM.HLDG VZO","Common stock","EUR",2504816,2020-02-13,11:00,64.72,64.76,64.72,64.76,1588,12
"IE00B4L5Y983","EUNL","ISHSIII-CORE MSCI WLD DLA","ETF","EUR",2505656,2020-02-13,11:00,59.638,59.638,59.638,59.638,2,1
"GB0059822006","DLG","DIALOG SEMICOND.   LS-,10","Common stock","EUR",2505387,2020-02-13,11:00,39.74,39.77,39.74,39.76,1507,14
"DE000A0LD2U1","AOX","ALSTRIA OFFICE REIT-AG","Common stock","EUR",2504379,2020-02-13,11:00,18.38,18.38,18.38,18.38,165,1
"DE000A0H08M3","EXH1","IS.S.E.600 OIL+G.U.ETF A.","ETF","EUR",2504330,2020-02-13,11:00,30.275,30.275,30.275,30.275,2065,2
"DE000A0TGJ55","VAR1","VARTA AG O.N.","Common stock","EUR",2721826,2020-02-13,11:00,76.5,76.5,76.5,76.5,30,4
"LU1931974692","PR1W","AMUNDI I.S.-A.PRI.GL.DRDL","ETF","EUR",3898785,2020-02-13,11:00,22.255,22.255,22.255,22.255,370,1
